,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day
0,R4008,MWD-5910-3_3_2,53.45417787,-113.4393666,53.45417787,-113.4393666,390.0,398.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,16.0
0,R4010,MWD-5910-4_3_3,53.45417787,-113.4393666,53.45417787,-113.4393666,414.0,422.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,17.0
0,R4010,MWD-5910-4_3_4,53.45417787,-113.4393666,53.45417787,-113.4393666,438.0,446.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,18.0
0,R4010,MWD-5910-4_3_5,53.45417787,-113.4393666,53.45417787,-113.4393666,462.0,470.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,19.0
0,R4010,MWD-5910-4_3_6,53.45417787,-113.4393666,53.45417787,-113.4393666,486.0,494.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,20.0
0,R4010,MWD-5910-4_3_0,53.45417787,-113.4393666,53.45417787,-113.4393666,342.0,350.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,14.0
0,R4010,MWD-5910-4_3_1,53.45417787,-113.4393666,53.45417787,-113.4393666,366.0,374.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,15.0
0,R4010,MWD-5910-4_3_2,53.45417787,-113.4393666,53.45417787,-113.4393666,390.0,398.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,16.0
0,T4089,GBY-5910-1_3_3,53.55975148,-113.414852,53.55975148,-113.414852,414.0,422.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,17.0
0,T4089,GBY-5910-1_3_4,53.55975148,-113.414852,53.55975148,-113.414852,438.0,446.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,18.0
0,T4089,GBY-5910-1_3_5,53.55975148,-113.414852,53.55975148,-113.414852,462.0,470.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,19.0
0,T4089,GBY-5910-1_3_6,53.55975148,-113.414852,53.55975148,-113.414852,486.0,494.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,20.0
0,T4089,GBY-5910-1_3_0,53.55975148,-113.414852,53.55975148,-113.414852,342.0,350.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,14.0
