,Id,Level,cluster,day,end-time,start-time,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,Service-duration-1,type,service-duration,
610,1115_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.4606329,-113.5138247,Ermineskin,10,1,1115_0,neighbourhood,2.0533333333,D,1.6210526316,
1630,1115_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.4606329,-113.5138247,Ermineskin,10,1,1115_1,neighbourhood,2.0533333333,D,1.6210526316,
72,1118.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.42524929,-113.4606603,ELLERSLIE,10,1,1118.0_0,neighbourhood,0.4333333333,D,0.3421052632,
1092,1118.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.42524929,-113.4606603,ELLERSLIE,10,1,1118.0_1,neighbourhood,0.4333333333,D,0.3421052632,
2410,1123.0_0_B1,B1,7,,11d 14:45:00,10d 06:00:00,,53.42945449,-113.4605923,ELLERSLIE,1,1,1123.0_0,neighbourhood,0.3986666667,D,0.3147368421,
2410,1123.0_1_B1,B1,7,,20d 14:45:00,19d 06:00:00,,53.42945449,-113.4605923,ELLERSLIE,1,1,1123.0_0,neighbourhood,0.3986666667,D,0.3147368421,
73,1135.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.46996222,-113.3848451,WILD ROSE,10,1,1135.0_0,neighbourhood,2.7866666667,D,2.2,
1093,1135.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.46996222,-113.3848451,WILD ROSE,10,1,1135.0_1,neighbourhood,2.7866666667,D,2.2,
74,1139.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.50890304,-113.4480183,AVONMORE,10,1,1139.0_0,neighbourhood,0.2533333333,D,0.2,
1094,1139.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.50890304,-113.4480183,AVONMORE,10,1,1139.0_1,neighbourhood,0.2533333333,D,0.2,
75,1140.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.510901,-113.4428788,GIRARD INDUSTRIAL,10,1,1140.0_0,neighbourhood,0.18,D,0.1421052632,
1095,1140.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.510901,-113.4428788,GIRARD INDUSTRIAL,10,1,1140.0_1,neighbourhood,0.18,D,0.1421052632,
611,1149_0_B1,B1,,7,9d 14:45:00,0d 06:00:00,,53.4715742,-113.4956654,Duggan,1,1,1149_0,neighbourhood,1.33,D,1.05,
1631,1149_1_B1,B1,,11,20d 14:45:00,10d 06:00:00,,53.4715742,-113.4956654,Duggan,1,1,1149_1,neighbourhood,1.33,D,1.05,
2078,1151_0_A2,A2,,3,6d 14:45:00,5d 06:00:00,,53.50271269,-113.5182882,Parkallen,1,1,1151_0,neighbourhood,3.07,D,2.4236842105,
2195,1151_1_A2,A2,,10,10d 14:45:00,10d 06:00:00,,53.50271269,-113.5182882,Parkallen,1,1,1151_1,neighbourhood,3.07,D,2.4236842105,
2312,1151_2_A2,A2,,18,20d 14:45:00,19d 06:00:00,,53.50271269,-113.5182882,Parkallen,1,1,1151_2,neighbourhood,3.07,D,2.4236842105,
612,1154_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.451720259,-113.492244342,Calgary Trail South,10,1,1154_0,roadway,0.5533333333,D,0.4368421053,
